,0.000000,0.000000,29.68,100386.00,78.46,42,-0.39,-4.33,7.58,-0.01,0.00,0.00
,0.000000,0.000000,24.87,100560.00,63.88,62,4.59,-1.93,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.87,100560.00,63.88,62,4.59,-1.93,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.88,100561.00,63.79,62,4.58,-1.94,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.88,100561.00,63.79,62,4.58,-1.94,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.89,100558.00,64.04,62,4.59,-1.93,7.31,0.67,-0.33,-0.14
,0.000000,0.000000,24.89,100558.00,64.04,62,4.59,-1.93,7.31,0.67,-0.33,-0.14
,0.000000,0.000000,24.89,100556.00,64.21,62,4.60,-1.91,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.89,100556.00,64.21,62,4.60,-1.91,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.89,100559.00,63.96,62,4.59,-1.90,7.31,0.67,-0.33,-0.14
,0.000000,0.000000,24.89,100559.00,63.96,62,4.59,-1.90,7.31,0.67,-0.33,-0.14
,0.000000,0.000000,24.90,100561.00,63.79,62,4.61,-1.90,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,24.90,100561.00,63.79,62,4.61,-1.90,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,24.91,100562.00,63.71,62,4.58,-1.91,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.91,100562.00,63.71,62,4.58,-1.91,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.91,100561.00,63.79,62,4.60,-1.91,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.91,100561.00,63.79,62,4.60,-1.91,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.92,100562.00,63.71,62,4.57,-1.93,7.27,0.67,-0.33,-0.14
,0.000000,0.000000,24.92,100562.00,63.71,62,4.57,-1.93,7.27,0.67,-0.33,-0.14
,0.000000,0.000000,24.93,100560.00,63.88,62,4.62,-1.92,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,24.93,100560.00,63.88,62,4.62,-1.92,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,24.93,100561.00,63.79,62,4.59,-1.93,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.93,100561.00,63.79,62,4.59,-1.93,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.94,100562.00,63.71,62,4.59,-1.91,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.94,100562.00,63.71,62,4.59,-1.91,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.94,100560.00,63.88,62,4.61,-1.91,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.94,100560.00,63.88,62,4.61,-1.91,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.95,100562.00,63.71,61,4.60,-1.93,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.95,100562.00,63.71,61,4.60,-1.93,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.95,100563.00,63.63,61,4.60,-1.93,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,24.95,100563.00,63.63,61,4.60,-1.93,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,24.96,100562.00,63.71,61,4.60,-1.93,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.96,100562.00,63.71,61,4.60,-1.93,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.97,100560.00,63.88,61,4.61,-1.92,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,24.97,100560.00,63.88,61,4.61,-1.92,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,24.97,100560.00,63.88,61,4.60,-1.94,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.97,100560.00,63.88,61,4.60,-1.94,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,24.98,100563.00,63.63,61,4.60,-1.92,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.98,100563.00,63.63,61,4.60,-1.92,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.99,100562.00,63.71,61,4.61,-1.91,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.99,100562.00,63.71,61,4.61,-1.91,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.98,100560.00,63.88,61,4.61,-1.92,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.98,100560.00,63.88,61,4.61,-1.92,7.29,0.67,-0.33,-0.14
,0.000000,0.000000,24.99,100561.00,63.79,61,4.58,-1.94,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,24.99,100561.00,63.79,61,4.58,-1.94,7.28,0.67,-0.33,-0.14
,0.000000,0.000000,25.00,100562.00,63.71,61,4.64,-1.92,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,25.00,100562.00,63.71,61,4.64,-1.92,7.30,0.67,-0.33,-0.14
,0.000000,0.000000,25.01,100561.00,63.79,61,4.64,-1.91,7.31,0.67,-0.33,-0.14
,0.000000,0.000000,25.01,100561.00,63.79,61,4.64,-1.91,7.31,0.67,-0.33,-0.14
,0.000000,0.000000,25.01,100561.00,63.79,61,4.56,-1.94,7.31,0.67,-0.33,-0.14
,0.000000,0.000000,25.01,100561.00,63.79,61,4.56,-1.94,7.31,0.67,-0.33,-0.14
,0.000000,0.000000,25.02,100561.00,63.79,61,4.70,-1.91,7.24,0.67,-0.33,-0.14
